iter	RMSE
170	6880.633375
171	6877.03319
172	6872.851482
173	6869.45964
174	6867.245712
175	6864.570711
176	6860.80283
177	6857.315939
178	6851.677331
179	6848.440007
180	6845.790467
181	6841.76445
182	6839.833277
183	6836.639895
184	6833.620695
185	6830.884491
186	6826.895676
187	6824.436928
188	6820.079651
189	6818.03939
190	6814.054095
191	6812.323148
192	6809.804463
193	6806.898768
194	6804.625996
195	6801.079372
196	6799.327876
197	6797.200546
198	6794.063031
199	6791.699551
200	6788.911251
201	6785.08812
202	6781.488289
203	6777.159474
204	6774.842274
205	6771.965861
206	6769.551198
207	6766.932163
208	6761.75006
209	6757.777433
210	6754.783555
211	6752.279523
212	6749.156685
213	6747.681963
214	6744.651508
215	6741.861643
216	6737.320367
217	6735.225177
218	6732.549798
219	6729.840063
220	6727.400179
221	6725.477724
222	6722.489866
223	6718.84655
224	6716.301935
225	6714.226974
226	6712.840626
227	6710.926387
228	6707.787629
229	6705.294126
230	6700.970001
231	6698.714226
232	6696.590099
233	6692.803297
234	6691.221718
235	6688.912144
236	6687.667021
237	6685.734413
238	6683.978992
239	6680.27672
240	6678.449979
241	6677.173728
242	6675.336581
243	6672.240721
244	6670.807885
245	6668.120664
246	6666.315181
247	6664.026553
248	6661.743696
249	6658.666767
250	6657.105626
251	6653.699134
252	6650.768564
253	6648.714061
254	6645.073793
255	6643.159647
256	6640.881936
257	6637.920256
258	6635.423708
259	6633.109411
260	6629.77628
261	6627.049656
262	6624.428311
263	6622.065143
264	6619.165319
265	6617.633067
266	6614.882351
267	6611.674227
268	6610.282203
269	6608.787108
270	6606.044774
271	6603.86001
272	6601.926063
273	6599.338703
274	6595.822223
275	6593.313044
276	6590.984803
277	6589.461185
278	6587.036483
279	6582.980973
280	6580.386349
281	6579.447333
282	6577.843318
283	6575.46473
284	6573.778391
285	6572.590298
286	6571.409241
287	6568.380786
288	6565.856267
289	6563.324041
290	6562.49347
291	6561.493872
292	6559.737699
293	6555.424451
294	6553.828509
295	6552.317336
296	6549.796171
297	6548.037233
298	6546.509422
299	6543.972892
300	6542.156873
301	6540.618967
302	6538.782104
303	6536.707979
304	6534.406953
305	6533.088351
306	6530.897772
307	6528.829449
308	6526.660818
309	6524.862313
310	6522.010544
311	6519.98836
312	6518.051183
313	6515.84692
314	6513.409084
315	6511.259001
316	6509.314292
317	6506.980767
318	6505.107763
319	6503.267222
320	6501.524785
321	6499.348487
322	6497.754544
323	6496.142971
324	6494.138139
325	6491.979253
326	6489.737682
327	6487.213493
328	6485.61988
329	6483.99981
330	6482.411443
331	6481.674275
332	6480.191593
333	6478.617927
334	6476.669924
335	6474.916338
336	6472.016944
337	6469.990539
338	6467.845383
339	6466.226897
340	6464.720423
341	6463.131828
342	6461.766076
343	6460.403465
344	6457.971728
345	6456.614158
346	6455.640313
347	6454.515854
348	6452.359267
349	6451.081397
350	6449.520175
351	6448.005805
352	6446.127417
353	6445.168757
354	6444.095556
355	6441.732658
356	6439.810877
357	6439.166299
358	6437.409869
359	6436.296028
360	6434.765148
361	6433.351254
362	6432.177016
363	6431.022444
364	6428.628072
365	6427.187655
366	6425.632164
367	6424.006137
368	6422.773865
369	6421.611606
370	6420.163395
371	6418.793308
372	6417.717523
373	6415.534638
374	6414.378258
375	6412.794362
376	6411.685673
377	6410.220388
378	6408.824547
379	6406.489958
380	6404.933457
381	6403.738385
382	6402.519721
383	6400.927315
384	6400.442789
385	6399.484091
386	6398.498322
387	6397.389098
388	6395.904712
389	6393.428167
390	6391.917673
391	6391.125325
392	6389.836858
393	6388.647405
394	6387.833771
395	6386.062872
396	6384.626332
397	6383.673818
398	6381.914238
399	6380.958686
400	6379.412357
401	6378.274161
402	6375.824978
403	6374.594151
404	6372.074552
405	6371.645511
406	6370.007144
407	6369.026573
408	6368.14673
409	6367.67452
410	6366.129288
411	6364.765288
412	6363.618681
413	6363.231372
414	6361.192187
415	6359.42841
416	6357.83126
417	6356.936274
418	6356.053513
419	6354.991394
420	6354.191636
421	6353.280237
422	6351.442835
423	6350.490071
424	6349.177076
425	6347.027322
426	6345.695465
427	6344.146967
428	6342.713301
429	6341.615818
430	6339.157993
431	6336.646023
432	6334.505818
433	6333.289735
434	6332.072738
435	6331.210824
436	6329.889588
437	6329.137447
438	6327.095736
439	6326.002349
440	6324.925596
441	6323.769003
442	6321.496804
443	6319.605315
444	6318.446454
445	6316.828115
446	6315.945139
447	6314.238234
448	6313.661062
449	6312.073825
450	6310.914259
451	6309.984572
452	6309.138703
453	6305.641024
454	6304.521001
455	6303.538105
456	6302.275039
457	6300.491054
458	6299.559824
459	6298.179089
460	6297.412777
461	6295.790437
462	6294.166096
463	6292.984909
464	6291.867111
465	6291.082169
466	6290.096813
467	6288.296431
468	6285.490599
469	6284.667659
470	6282.367581
471	6280.713988
472	6278.722321
473	6278.418834
474	6277.148664
475	6276.25508
476	6275.741708
477	6274.792884
478	6273.421171
479	6271.997441
480	6271.692679
481	6270.927169
482	6270.01459
483	6268.778446
484	6267.598943
485	6266.513115
486	6264.914671
487	6264.175525
488	6263.136752
489	6262.249298
490	6260.510808
491	6258.911071
492	6256.306683
493	6255.393538
494	6254.107056
495	6252.537128
496	6251.732607
497	6250.656704
498	6249.671236
499	6248.66249
